latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
40.70666,-73.96526,3.0,31.0,0.57,1.0,0.0
40.71086,-74.00721,2.0,3.0,0.36,1.0,158.0
40.65531,-73.96161,4.0,6.0,0.22,1.0,6.0
40.64372,-73.95969,3.0,12.0,0.22,1.0,0.0
40.72354,-73.99333,1.0,1.0,0.3,8.0,0.0
40.68057,-73.95249,3.0,6.0,0.46,1.0,1.0
40.80403,-73.95615,2.0,6.0,0.12,1.0,0.0
40.72791,-73.98929,10.0,5.0,0.24,1.0,0.0
40.73004,-74.00128,3.0,1.0,0.26,1.0,7.0
40.72044,-73.9998,2.0,0.0,0.858,1.0,2.0
40.67203,-73.76711,1.0,0.0,0.634,2.0,179.0
40.65854,-73.962,2.0,2.0,0.15,1.0,0.0
40.75249,-73.9689,3.0,1.0,1.0,1.0,5.0
40.82887,-73.9487,2.0,3.0,0.16,1.0,0.0
40.72429,-73.98784,90.0,0.0,0.514,1.0,173.0
40.68874,-73.95684,2.0,14.0,0.52,1.0,0.0
40.72833,-73.94781,3.0,15.0,0.3,1.0,0.0
40.77811,-73.91065,1.0,5.0,4.69,2.0,31.0
40.59087,-73.97275,7.0,1.0,0.67,6.0,313.0
40.68843,-73.96239,2.0,114.0,1.82,1.0,314.0
40.74138,-73.98168,1.0,19.0,6.63,3.0,37.0
40.71248,-73.96379,1.0,5.0,0.11,1.0,0.0
40.67283,-73.87785,1.0,35.0,0.92,2.0,365.0
40.71883,-73.99716,2.0,119.0,1.93,1.0,0.0
40.76269,-73.98928,2.0,4.0,4.0,1.0,29.0
40.68664,-73.92318,1.0,113.0,2.89,3.0,288.0
40.67295,-73.95646,1.0,4.0,0.17,1.0,0.0
40.72185,-73.98237,4.0,2.0,0.35,2.0,0.0
40.72149,-73.99815,3.0,10.0,0.17,1.0,0.0
40.74043,-73.99277,3.0,5.0,0.43,1.0,362.0
40.70623,-74.0051,2.0,52.0,1.11,1.0,72.0
40.74754,-73.99036,1.0,63.0,2.34,4.0,29.0
40.76767,-73.9558,3.0,8.0,0.32,1.0,0.0
40.63524,-73.96602,30.0,4.0,0.07,1.0,47.0
40.72191,-73.78207,1.0,0.0,0.11200000000000002,2.0,0.0
40.71164,-73.95173,2.0,7.0,0.77,4.0,3.0
40.64608,-73.94738,1.0,71.0,8.99,2.0,35.0
40.75987,-73.99008,3.0,15.0,0.43,1.0,4.0
40.72674,-73.9782,7.0,25.0,0.3,1.0,359.0
40.70166,-73.92673,3.0,10.0,0.4,1.0,0.0
40.72999,-73.98764,1.0,0.0,0.026000000000000002,1.0,0.0
40.75666,-73.91449,3.0,50.0,1.27,2.0,352.0
40.74781,-74.00084,1.0,6.0,2.77,1.0,2.0
40.71243,-73.95655,1.0,1.0,0.02,1.0,0.0
40.80305,-73.94163,1.0,5.0,1.2,1.0,338.0
40.77141,-73.91415,7.0,15.0,0.41,1.0,0.0
40.77799,-73.95223,1.0,1.0,0.01,1.0,0.0
40.72644,-73.98403,5.0,0.0,0.098,1.0,0.0
40.75391,-73.99709,7.0,9.0,0.75,47.0,337.0
40.59486,-73.73837,2.0,22.0,1.6,1.0,47.0
40.76403,-73.98191,1.0,0.0,0.45,8.0,0.0
40.69379,-73.94539,2.0,37.0,0.88,1.0,0.0
40.72691,-73.9813,2.0,6.0,0.42,1.0,39.0
40.7293,-73.98325,2.0,4.0,0.31,2.0,0.0
40.71738,-73.94158,2.0,61.0,2.14,3.0,42.0
40.67905,-73.95422,7.0,0.0,0.05,1.0,0.0
40.725,-73.97903,3.0,3.0,3.0,1.0,0.0
40.67941,-73.9193,2.0,28.0,1.34,1.0,0.0
40.76654,-73.93508,6.0,0.0,0.178,1.0,0.0
40.72461,-73.9892,1.0,0.0,0.022,1.0,0.0
40.76361,-73.98847,2.0,3.0,0.24,2.0,0.0
